Model,pre-processing,Embeddings,f1-score,f1-score-1,f1-score-2,f1-score-3,,,,
cnn,Cleaning+Emoji,es,"0,481","0,454","0,503","0,486",,,,
fast_text,,es,"0,364","0,351","0,338","0,402",,,,
b_lstm,,es,"0,389","0,377","0,438","0,352",,,,
lstm,,es,"0,361","0,367","0,359","0,358",,,,
kim,,es,"0,436","0,419","0,447","0,441",,,,
cnn,Cleaning+Emoji,es+online,"0,571","0,538","0,597","0,578","0,045","0,015","0,076","0,043"
fast_text,,es+online,"0,548","0,548","0,536","0,56","0,015","0,027","0,006","0,012"
b_lstm,,es+online,"0,499","0,517","0,474","0,507","-0,019","0,005","-0,051","-0,010"
lstm,,es+online,"0,521","0,528","0,457","0,578","0,048","-0,019","0,080","0,082"
kim,,es+online,"0,589","0,587","0,598","0,581","0,042","0,032","0,063","0,030"
cnn,Cleaning+Emoji,ca,"0,451","0,440","0,477","0,435",,,,
fast_text,,ca,"0,301","0,267","0,287","0,350",,,,
b_lstm,,ca,"0,385","0,398","0,372","0,386",,,,
lstm,,ca,"0,306","0,289","0,239","0,389",,,,
kim,,ca,"0,396","0,402","0,374","0,412",,,,
cnn,Cleaning+Emoji,ca+online,"0,536","0,510","0,543","0,554","0,009","-0,013","0,022","0,019"
fast_text,,ca+online,"0,551","0,522","0,567","0,565","0,018","0,001","0,037","0,017"
b_lstm,,ca+online,"0,463","0,478","0,418","0,492","-0,055","-0,034","-0,107","-0,025"
lstm,,ca+online,"0,536","0,570","0,551","0,488","0,063","0,023","0,174","-0,008"
kim,,ca+online,"0,562","0,560","0,562","0,565","0,015","0,005","0,027","0,014"
cnn,Cleaning+Emoji,online,"0,526","0,523","0,521","0,535",,,,
fast_text,,online,"0,533","0,521","0,530","0,548",,,,
b_lstm,,online,"0,518","0,512","0,525","0,517",,,,
lstm,,online,"0,473","0,547","0,377","0,496",,,,
kim,,online,"0,547","0,555","0,535","0,551",,,,